timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,agl_est
0,45.6685,0,0,0
1,45.6684,0,0,-9.07381e-06
2,45.6684,0,0,4.04528e-06
3,45.6685,0,0,1.05597e-05
4,45.6685,0,0,-5.65493e-06
5,45.6683,0,0,-2.2542e-05
6,45.6683,0,0,-6.66787e-06
7,45.6683,0,0,5.39967e-07
8,45.678,0,0,0.00192971
9,45.678,0,0,0.000389466
10,45.6781,0,0,9.92751e-05
11,45.678,0,0,-5.34104e-06
12,45.678,0,0,-1.25571e-06
13,45.6781,0,0,1.75712e-05
14,45.678,0,0,-1.88639e-05
15,45.6779,0,0,-2.61878e-05
16,45.6736,0,0,-0.000860638
17,45.6736,0,0,-0.000167366
18,45.6735,0,0,-5.92663e-05
19,45.6793,0,0,0.00114504
20,45.6791,0,0,0.000206859
21,45.6791,0,0,4.05678e-05
22,45.6792,0,0,2.22923e-05
23,45.6792,0,0,-5.04056e-06
24,45.6791,0,0,-7.7725e-06
25,45.6792,0,0,1.34819e-05
26,45.6791,0,0,-1.2869e-05
27,45.6791,0,0,-2.45103e-06
28,45.6791,0,0,-2.29166e-06
29,45.6846,0,0,0.00109633
30,45.6847,0,0,0.000229716
31,45.6847,0,0,4.51663e-05
32,45.6847,0,0,2.52131e-05
33,45.6847,0,0,-1.06056e-05
34,45.6847,0,0,-2.29307e-06
35,45.6846,0,0,-2.13745e-05
36,45.6708,0,0,-0.00276085
37,45.6708,0,0,-0.000541649
38,45.6708,0,0,-0.000106495
39,45.6707,0,0,-4.83189e-05
40,45.6675,0,0,-0.000655727
41,45.6674,0,0,-0.000141891
42,45.6674,0,0,-3.21252e-05
43,45.6674,0,0,-4.4104e-06
44,45.6674,0,0,-1.02897e-05
45,45.6674,0,0,-6.8654e-07
46,45.6673,0,0,-7.44826e-06
47,45.6674,0,0,4.1983e-06
48,45.6673,0,0,-1.04885e-05
49,45.6672,0,0,-2.08083e-05
50,45.6728,0,0,0.00111883
51,45.6729,0,0,0.000240856
52,45.6729,0,0,4.67605e-05
53,45.6729,0,0,1.44449e-05
54,45.6729,0,0,7.3527e-06
55,45.6728,0,0,-3.72148e-05
56,45.6644,0,0,-0.00168532
57,45.6644,0,0,-0.00033349
58,45.6643,0,0,-7.96178e-05
59,45.6644,0,0,6.43387e-06
60,45.67,0,0,0.00110712
61,45.67,0,0,0.000225811
62,45.6699,0,0,3.91787e-05
63,45.6699,0,0,7.18214e-06
64,45.67,0,0,4.03633e-06
65,45.6699,0,0,-2.49337e-06
66,45.67,0,0,7.92233e-06
67,45.67,0,0,-4.32521e-06
68,45.67,0,0,2.4841e-06
69,45.67,0,0,3.74037e-06
70,45.6699,0,0,-2.22256e-05
71,45.6699,0,0,-7.39361e-06
72,45.6698,0,0,-5.47723e-06
73,45.6698,0,0,-2.08147e-06
74,45.6698,0,0,-3.11363e-06
75,45.6698,0,0,-6.52673e-06
76,45.66,0,0,-0.00196541
77,45.6601,0,0,-0.000373437
78,45.6601,0,0,-7.51978e-05
79,45.6601,0,0,-1.21225e-05
80,45.66,0,0,-8.4473e-06
81,45.6698,0,0,0.00194102
82,45.6698,0,0,0.000393364
83,45.6697,0,0,6.59997e-05
84,45.6697,0,0,1.50389e-05
85,45.6698,0,0,6.56443e-06
86,45.6697,0,0,-1.71293e-06
87,45.6697,0,0,-5.31904e-06
88,45.6697,0,0,-4.76766e-06
89,45.6696,0,0,-1.0986e-05
90,45.6697,0,0,4.77722e-06
91,45.6696,0,0,-2.13332e-05
92,45.6793,0,0,0.00193473
93,45.6794,0,0,0.00041788
94,45.6793,0,0,6.37971e-05
95,45.6792,0,0,-1.96509e-05
96,45.6657,0,0,-0.00269358
97,45.6657,0,0,-0.000533811
98,45.6657,0,0,-0.000111732
99,45.6657,0,0,-2.30926e-05
100,45.6656,0,0,-1.92943e-05
101,45.6656,0,0,-4.57261e-06
102,45.6713,0,0,0.00112681
103,45.6713,0,0,0.000229693
104,45.6713,0,0,4.22578e-05
105,45.6712,0,0,-6.14992e-06
106,45.6712,0,0,7.48683e-06
107,45.6712,0,0,-1.29448e-05
108,45.6712,0,0,4.93404e-06
109,45.6712,0,0,6.94293e-07
110,45.6711,0,0,-1.799e-05
111,45.6711,0,0,-7.33912e-06
112,45.671,0,0,-2.33917e-05
113,45.6766,0,0,0.00111276
114,45.6768,0,0,0.000268952
115,45.6767,0,0,2.39773e-05
116,45.6657,0,0,-0.00219369
117,45.6657,0,0,-0.000437304
118,45.6657,0,0,-8.16563e-05
119,45.6656,0,0,-2.79668e-05
120,45.6657,0,0,4.42653e-06
121,45.6657,0,0,-3.22048e-06
122,45.6656,0,0,-1.61557e-05
123,45.6801,0,0,0.00289059
124,45.6801,0,0,0.000584589
125,45.6801,0,0,0.00011417
126,45.6801,0,0,2.21057e-05
127,45.6801,0,0,4.25923e-06
128,45.6802,0,0,1.74285e-05
129,45.6801,0,0,-9.18006e-06
130,45.6801,0,0,7.20369e-06
131,45.6801,0,0,-3.64876e-06
132,45.6801,0,0,-9.68815e-06
133,45.68,0,0,-2.19623e-05
134,45.6856,0,0,0.00112642
135,45.6856,0,0,0.000221763
136,45.6701,0,0,-0.00306252
137,45.6702,0,0,-0.000583328
138,45.6702,0,0,-0.000128435
139,45.6701,0,0,-2.81141e-05
140,45.6702,0,0,1.82894e-06
141,45.6702,0,0,-6.5285e-07
142,45.6701,0,0,-1.73802e-05
