timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,rateAlt1,rateAlt2,prevalt1,prevalt2,estimatedHeight
0.0000000000,217.3690188546,65.5422592000,64.7535000000,1,1,nan,nan,nan,nan,65.1478796000
1.0000000000,217.3406983772,65.5727000000,64.5429764000,1,1,3.0440800000,21.0523600000,65.5422592000,64.7535000000,65.1470169300
2.0000000000,217.3122882918,68.0665894000,64.8990555000,0,0,249.3889400000,35.6079100000,65.5727000000,64.5429764000,65.1458378512
3.0000000000,217.2838756563,68.0957870000,64.8209610000,0,1,252.7355621488,27.1955985488,65.5684313785,64.5490050145,65.1429683924
4.0000000000,217.2554237572,68.1271133000,64.7159000000,0,1,256.2936551348,10.5061000000,65.5641767487,64.8209610000,65.1390381572
5.0000000000,217.2269346332,66.2648926000,64.6164551000,0,1,70.4967237263,9.9444900000,65.5599253627,64.7159000000,65.1340455999
6.0000000000,217.2034573471,71.2449646000,64.8794861000,0,1,568.9298034892,26.3031000000,65.5556665651,64.6164551000,65.1297856325
7.0000000000,217.1749625886,71.2713699000,64.6623535000,0,1,571.9962144218,21.7132600000,65.5514077558,64.8794861000,65.1240939466
8.0000000000,217.1464492762,68.2952000000,64.5691452000,0,1,274.8065382310,9.3208300000,65.5471346177,64.6623535000,65.1174524443
9.0000000000,217.1178786382,69.1297760000,64.6492844000,0,1,358.6938204043,8.0139200000,65.5428377960,64.5691452000,65.1106712930
10.0000000000,217.0893567465,69.1633682000,64.7966461000,0,1,362.4852069073,14.7361700000,65.5385161309,64.6492844000,65.1041704575
11.0000000000,217.0607999396,66.9728699000,64.7308197000,0,1,143.8697225807,6.5826400000,65.5341726742,64.7966461000,65.0970606252
12.0000000000,217.0323340641,64.1718445000,64.5972672000,0,1,135.7957053703,13.3552500000,65.5298015537,64.7308197000,65.0890013971
13.0000000000,217.0038242983,66.1758270000,64.4445953000,0,1,65.0433447863,15.2671900000,65.5253935521,64.5972672000,65.0798403480
14.0000000000,216.9753795229,69.3411000000,64.6385345000,0,1,382.0161979904,19.3939200000,65.5209380201,64.4445953000,65.0711747138
15.0000000000,216.9469140489,68.0294876000,64.4481125000,0,1,251.3047212967,19.0422000000,65.5164403870,64.6385345000,65.0613276673
16.0000000000,216.9185620928,68.0588379000,64.4759369000,0,1,254.6948640165,2.7824400000,65.5118892598,64.4481125000,65.0512494592
17.0000000000,216.8724176139,69.3337555000,64.4902267000,0,1,382.6472638171,1.4289800000,65.5072828618,64.4759369000,65.0406585300
